종목명,종목코드,섹터,수량,평단가,현재가,등락률,업데이트시각
CJ제일제당,,식품,1.0,204500.0,204500.0,0,08/11 매매
한국단자,,전기전자부품,1.0,62600.0,64800.0,0,08/11 매매
JW생명과학,,제약바이오,3.0,11290.0,11773.0,0,08/11 매매
카카오뱅크,,금융,3.0,21750.0,22175.0,0,08/11 매매
우리금융지주,,금융,2.0,33250.0,34450.0,0,08/11 매매
한일시멘트,,건자재,4.0,14770.0,14837.0,0,08/11 매매
미스토홀딩스,,유통,2.0,43984.0,43650.0,0,08/11 매매
GS리테일,,유통,3.0,27350.0,27875.0,0,08/11 매매
HK이노엔,,제약바이오,1.0,41750.0,43300.0,0,08/11 매매
성광벤드,,에너지기자재,4.0,27019.0,28200.0,0,08/11 매매
CJ대한통운,,물류,1.0,76700.0,77700.0,0,08/11 매매
오스테오닉,,의료기기,10.0,4950.0,4995.0,0,08/11 매매
아이센스,,의료기기,2.0,18290.0,18970.0,0,08/11 매매
한국가스공사,,에너지,2.0,34767.0,35950.0,0,08/11 매매
삼립,,식품,3.0,40367.0,40367.0,0,08/11 매매
HMM,,해운,5.0,21350.0,21350.0,0,08/11 매매
화승코퍼레이션,,자동차부품,15.0,2775.0,2740.0,0,08/11 매매
신세계인터내셔날,,유통,10.0,11327.0,10760.0,0,08/11 매매
JYP Ent.,,엔터테인먼트,3.0,47400.0,47400.0,0,08/11 매매
컴투스홀딩스,,게임,5.0,12735.0,12700.0,0,08/11 매매
현대리바트,,가구,15.0,5890.0,5890.0,0,08/11 매매
영원무역,,섬유의류,1.0,89500.0,90800.0,0,08/11 매매
메리츠금융지주,,금융,1.0,122600.0,122600.0,0,08/11 매매
한국콜마,,화장품,1.0,105600.0,105600.0,0,08/11 매매
삼양패키징,,용기포장,5.0,9770.0,9770.0,0,08/11 매매
동국제강,,철강,7.0,9810.0,9810.0,0,08/11 매매
유한양행,,,1.0,86900.0,86900.0,0,08/11 매매
DL,,지주(에너지),2.0,50400.0,50400.0,0,08/11 매매
삼화콘덴서,,전자부품,1.0,87200.0,87200.0,0,08/11 매매
사조대림,,,3.0,32750.0,32750.0,0,08/11 매매
SGC에너지,,,1.0,55900.0,55900.0,0,08/11 매매
크라운해태홀딩스,,,15.0,5832.0,5832.0,0,08/11 매매
풍산홀딩스,,지주(방산소재),2.0,37950.0,37950.0,0,08/11 매매
GS건설,,건설,2.0,34200.0,34200.0,0,08/11 매매
서흥,,,3.0,29533.0,29533.0,0,08/11 매매
율촌화학,,,5.0,14990.0,14990.0,0,08/11 매매
한샘,,,2.0,42300.0,42300.0,0,08/11 매매
계룡건설,,,3.0,21200.0,21200.0,0,08/11 매매
이구산업,,금속가공,10.0,4550.0,4550.0,0,08/11 매매
해태제과식품,,식품,8.0,5710.0,5710.0,0,08/11 매매
이마트,,,1.0,80800.0,80800.0,0,08/11 매매
필옵틱스,,,3.0,28300.0,27600.0,0,08/11 매매
종근당,,,2.0,71600.0,71600.0,0,08/11 매매
심텍,,,1.0,123100.0,123100.0,0,08/11 매매
실리콘투,,화장품유통,1.0,39750.0,39750.0,0,08/11 매매
한화시스템,,,1.0,74400.0,74400.0,0,08/11 매매
진에어,,항공,10.0,5370.0,5370.0,0,08/11 매매
더네이쳐홀딩스,,패션의류,7.0,6870.0,6870.0,0,08/11 매매
