id,날짜,종목명,구분,수량,단가,실현손익,메모,정산반영
t01,2026-08-03,대한항공,매수,4.0,25850.0,,,False
t02,2026-08-04,대한항공,매도,1.0,27050.0,1200,,False
t03,2026-08-04,NAVER,매수,1.0,205500.0,,,False
t04,2026-08-04,NAVER,매도,1.0,226000.0,20500,,False
t05,2026-08-04,두산에너빌리티,매수,1.0,71200.0,,,False
t06,2026-08-04,CJ대한통운,매수,1.0,75500.0,,,False
t07,2026-08-04,아세아제지,매수,10.0,7370.0,,,False
t08,2026-08-04,대한화섬,매수,1.0,110500.0,,,False
t09,2026-08-04,삼립,매수,1.0,39750.0,,,False
t10,2026-08-04,GS리테일,매수,5.0,24400.0,,,False
t11,2026-08-04,서흥,매수,1.0,21400.0,,,False
t12,2026-08-04,삼성중공업,매수,5.0,21250.0,,,False
t13,2026-08-04,동서,매수,5.0,25200.0,,,False
t14,2026-08-04,한국가스공사,매수,2.0,34600.0,,,False
t15,2026-08-04,미스토홀딩스,매수,2.0,44050.0,,,False
t16,2026-08-04,AJ네트웍스,매수,20.0,4165.0,,,False
t17,2026-08-04,CJ제일제당,매수,1.0,193900.0,,,False
t18,2026-08-04,코스맥스,매수,1.0,195600.0,,,False
t19,2026-08-04,HK이노엔,매수,2.0,38900.0,,,False
t20,2026-08-04,오스테오닉,매수,15.0,4950.0,,,False
t21,2026-08-04,롯데웰푸드,매수,1.0,101800.0,,,False
t22,2026-08-04,한일시멘트,매수,7.0,14030.0,,,False
t23,2026-08-04,우리금융지주,매수,3.0,33150.0,,,False
t24,2026-08-04,카카오뱅크,매수,5.0,21750.0,,,False
t25,2026-08-04,KCC글라스,매수,5.0,22650.0,,,False
t26,2026-08-06,GS리테일,매도,1.0,28375.0,3975,,False
t27,2026-08-06,서흥,매도,1.0,23500.0,2100,,False
t28,2026-08-06,두산에너빌리티,매도,1.0,76400.0,5200,,False
t29,2026-08-06,엘오티베큠,매수,5.0,8500.0,,,False
t30,2026-08-06,월덱스,매수,2.0,29300.0,,,False
t31,2026-08-06,JW생명과학,매수,10.0,11290.0,,,False
t32,2026-08-06,DL이앤씨,매수,1.0,69700.0,,,False
t33,2026-08-06,KCC글라스,매도,2.0,24300.0,3300,,False
t34,2026-08-06,동진쎄미켐,매수,1.0,41800.0,,,False
t35,2026-08-07,GS리테일,매도,1.0,28375.0,3975,,False
t36,2026-08-07,서흥,매수,1.0,23400.0,,,False
t37,2026-08-07,NAVER,매수,1.0,209000.0,,,False
t38,2026-08-07,성광벤드,매수,3.0,26100.0,,,False
t39,2026-08-07,한국단자,매수,2.0,62600.0,,,False
t40,2026-08-07,원익홀딩스,매수,5.0,18414.0,,,False
t41,2026-08-07,아이센스,매수,4.0,18290.0,,,False
t42,2026-08-07,롯데웰푸드,매도,1.0,112500.0,10700,,False
t43,2026-08-10,CJ대한통운,매수,1.0,77900.0,,,True
t44,2026-08-10,아세아제지,매수,2.0,8060.0,,,True
t45,2026-08-10,대한항공,매수,3.0,26617.0,,,True
t46,2026-08-10,동진쎄미켐,매수,1.0,41800.0,,,True
t47,2026-08-10,삼립,매수,2.0,40675.0,,,True
t48,2026-08-10,GS리테일,매수,2.0,27200.0,,,True
t49,2026-08-10,GS리테일,매도,1.0,28550.0,2974,,True
t50,2026-08-10,서흥,매도,1.0,27750.0,4296,,True
t51,2026-08-10,삼성중공업,매도,2.0,22500.0,2411,,True
t52,2026-08-10,HMM,매수,5.0,21350.0,,,True
t53,2026-08-10,화승코퍼레이션,매수,30.0,2775.0,,,True
t54,2026-08-10,성광벤드,매수,1.0,28250.0,,,True
t55,2026-08-10,성광벤드,매도,1.0,28500.0,1806,,True
t56,2026-08-10,동서,매수,1.0,26300.0,,,True
